Step,Baseline,Prenorm,Postnorm_extra
30000,8.44,8.16,9.27
30500,8.39,8.15,9.34
31000,8.34,8.07,9.16
31500,8.39,8.14,9.1
32000,8.23,8.03,9.02
32500,8.19,8.06,9.0
33000,8.33,8.08,9.02
33500,8.33,8.06,8.99
34000,8.33,8.07,9.01
34500,8.27,8.05,8.98
35000,8.24,7.99,8.87
35500,8.2,7.94,8.87
36000,8.12,7.92,8.78
36500,8.11,7.89,8.8
37000,8.25,8.03,8.83
37500,8.27,7.97,8.9
38000,8.13,7.87,8.7
38500,8.23,7.93,8.7
39000,8.1,7.91,8.63
39500,8.11,7.93,8.61
40000,8.15,7.88,8.54
40500,8.01,7.83,8.59
41000,,,8.63
41500,,,8.59
42000,,,8.58
42500,,,8.49
43000,,,8.5
43500,,,8.45
44000,,,8.49
44500,,,8.4
45000,,,8.41
45500,,,8.46
46000,,,8.48
46500,,,8.46
47000,,,8.35
47500,,,8.36
48000,,,8.45
48500,,,8.26
49000,,,8.23
49500,,,8.35
50000,,,8.34
50500,,,8.33
51000,,,8.28
51500,,,8.35
52000,,,8.3
52500,,,8.15
53000,,,8.22
53500,,,8.28
54000,,,8.26
54500,,,8.21
55000,,,8.18
55500,,,8.15
56000,,,8.24
56500,,,8.2
57000,,,8.1
57500,,,8.22
58000,,,8.22
58500,,,8.12
59000,,,8.16
59500,,,8.16
60000,,,8.16
60500,,,8.05
61000,,,8.08
